City,latitude,longitude,
Tokyo,35.682838,139.758967,
Delhi,28.651718,77.221939,
Shanghai,31.225344,121.488892,
Ṣo Paulo,39.78373,-100.445882,
Mumbai (Bombay),18.95238,72.832711,
Ciudad de M̩xico (Mexico City),39.78373,-100.445882,
Beijing,39.905963,116.391248,
Kinki M.M.A. (Osaka),39.78373,-100.445882,
Al-Qahirah (Cairo),30.048819,31.243666,
New York-Newark,40.681968,-74.159239,
Dhaka,23.759357,90.378814,
Karachi,24.86678,67.031129,
Buenos Aires,-34.612869,-58.445979,
Kolkata (Calcutta),22.567746,88.347602,
Istanbul,41.009633,28.965165,